total_images,compliant_imgs,compliant_imgs_pct,empty_alt_text,compliant
5,5,100.0,0,True
6,6,100.0,3,True
6,6,100.0,3,True
3,3,100.0,1,True
3,3,100.0,0,True
6,6,100.0,1,True
5,5,100.0,2,True
6,6,100.0,3,True
3,3,100.0,1,True
9,9,100.0,4,True
3,3,100.0,0,True
15,15,100.0,13,True
7,7,100.0,5,True
6,6,100.0,3,True
7,7,100.0,4,True
7,7,100.0,2,True
4,2,50.0,0,False
31,30,97.0,0,False
30,29,97.0,0,False
14,14,100.0,14,True
12,12,100.0,5,True
36,36,100.0,3,True
8,8,100.0,6,True
6,6,100.0,4,True
11,11,100.0,4,True
6,6,100.0,2,True
5,5,100.0,3,True
6,6,100.0,1,True
4,4,100.0,2,True
17,17,100.0,0,True
9,9,100.0,0,True
2,2,100.0,0,True
3,3,100.0,2,True
28,28,100.0,18,True
7,7,100.0,0,True
6,6,100.0,5,True
9,9,100.0,0,True
36,36,100.0,30,True
3,3,100.0,0,True
13,13,100.0,1,True
16,16,100.0,6,True
12,12,100.0,10,True
3,3,100.0,0,True
9,9,100.0,0,True
11,11,100.0,2,True
8,8,100.0,5,True
13,12,92.0,1,False
5,5,100.0,1,True
17,16,94.0,7,False
4,4,100.0,0,True
2,2,100.0,1,True
31,30,97.0,0,False
15,15,100.0,11,True
4,4,100.0,1,True
15,15,100.0,0,True
235,235,100.0,232,True
7,7,100.0,4,True
10,9,90.0,6,False
28,28,100.0,9,True
10,6,60.0,3,False
20,20,100.0,4,True
4,4,100.0,2,True
131,131,100.0,4,True
7,7,100.0,4,True
11,11,100.0,7,True
8,8,100.0,6,True
10,10,100.0,4,True
3,3,100.0,0,True
3,3,100.0,1,True
59,22,37.0,20,False
6,6,100.0,3,True
7,7,100.0,5,True
2,2,100.0,0,True
2,2,100.0,0,True
2,2,100.0,0,True
